#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Apple Inc.,AAPL,6.830975,   155.85,0.11,-0.0007
2,Microsoft Corporation,MSFT,5.280989,   235.59,-0.28,(-0.12%)
3,Amazon.com Inc.,AMZN,3.071185,   103.89,0.48,-0.0046
4,Tesla Inc,TSLA,1.872211,   228.39,-0.13,(-0.06%)
5,Alphabet Inc. Class A,GOOGL,1.726786,   96.39,0.1,-0.001
6,Berkshire Hathaway Inc. Class B,BRK.B,1.634329,   299.63,0,0
7,UnitedHealth Group Incorporated,UNH,1.582618,   551.24,0,0
8,Alphabet Inc. Class C,GOOG,1.550504,   96.68,0.1,-0.001
9,Johnson & Johnson,JNJ,1.414743,   174.06,-0.81,(-0.46%)
10,Exxon Mobil Corporation,XOM,1.399758,   110.70,0,0
11,JPMorgan Chase & Co.,JPM,1.14108,   126.22,0.14,-0.0011
12,Visa Inc. Class A,V,1.043067,   209.75,0.41,-0.002
13,NVIDIA Corporation,NVDA,1.030311,   138.80,0.46,-0.0033
14,Chevron Corporation,CVX,1.000476,   180.00,0.02,-0.0001
15,Procter & Gamble Company,PG,0.98467,   135.50,0.28,-0.0021
16,Home Depot Inc.,HD,0.934172,   298.70,0.05,-0.0002
17,Eli Lilly and Company,LLY,0.877567,   359.90,0,0
18,Mastercard Incorporated Class A,MA,0.850936,   329.03,-0.44,(-0.13%)
19,AbbVie Inc.,ABBV,0.84754,   147.50,-0.11,(-0.07%)
20,Pfizer Inc.,PFE,0.802483,   47.43,0,0
21,Merck & Co. Inc.,MRK,0.789868,   100.90,0.13,-0.0013
22,Bank of America Corp,BAC,0.783875,   36.22,0.04,-0.0011
23,PepsiCo Inc.,PEP,0.770773,   182.25,0.02,-0.0001
24,Coca-Cola Company,KO,0.723783,   60.71,-0.05,(-0.08%)
25,Meta Platforms Inc. Class A,META,0.697547,   98.94,-0.26,(-0.26%)
26,Costco Wholesale Corporation,COST,0.68757,   512.00,1.13,-0.0022
27,Walmart Inc.,WMT,0.627069,   142.54,0.03,-0.0002
28,Thermo Fisher Scientific Inc.,TMO,0.610301,   504.38,0.54,-0.0011
29,McDonald's Corporation,MCD,0.609607,   274.26,-0.26,(-0.09%)
30,Walt Disney Company,DIS,0.595208,   105.95,0,0
31,Cisco Systems Inc.,CSCO,0.575025,   45.79,0.15,-0.0033
32,Broadcom Inc.,AVGO,0.574837,   475.00,2.1,-0.0044
33,Accenture Plc Class A,ACN,0.550446,   287.78,0,0
34,Wells Fargo & Company,WFC,0.54129,   46.35,0,0
35,Abbott Laboratories,ABT,0.53063,   99.51,0.02,-0.0002
36,Danaher Corporation,DHR,0.507774,   251.80,0,0
37,ConocoPhillips,COP,0.503977,   127.20,0.03,-0.0002
38,Bristol-Myers Squibb Company,BMY,0.497954,   77.01,0.18,-0.0023
39,Salesforce Inc.,CRM,0.496886,   163.47,0.45,-0.0028
40,Verizon Communications Inc.,VZ,0.474995,   37.80,0.13,-0.0035
41,Adobe Incorporated,ADBE,0.466157,   325.40,-0.28,(-0.09%)
42,NextEra Energy Inc.,NEE,0.463543,   79.10,0.07,-0.0009
43,Linde plc,LIN,0.456848,   305.11,3.31,-0.011
44,Texas Instruments Incorporated,TXN,0.447756,   161.36,0,0
45,Amgen Inc.,AMGN,0.446874,   270.00,-3.81,(-1.39%)
46,Comcast Corporation Class A,CMCSA,0.440117,   32.00,0.05,-0.0016
47,Philip Morris International Inc.,PM,0.4339,   92.53,0,0
48,Raytheon Technologies Corporation,RTX,0.423721,   95.09,0.01,-0.0001
49,Honeywell International Inc.,HON,0.413796,   204.20,-0.73,(-0.36%)
50,Netflix Inc.,NFLX,0.412795,   296.20,0.48,-0.0016
